"panel","run_id","case","seed","alpha","sigma2","sigma1","rho","n_steps","terminal"
"development","heavy_tail_stress__R03__rep02__n10000000__T50",10240,410003002,1.55,1.4,0.7,2.2,10000000,50
"development","heavy_tail_stress__R03__rep03__n10000000__T50",10241,410003003,1.55,1.4,0.7,2.2,10000000,50
"development","heavy_tail_stress__R03__rep04__n10000000__T50",10242,410003004,1.55,1.4,0.7,2.2,10000000,50
"development","heavy_tail_stress__R04__rep01__n10000000__T50",10243,410004001,1.15,1.3,1.5,1.1,10000000,50
"development","heavy_tail_stress__R04__rep02__n10000000__T50",10244,410004002,1.15,1.3,1.5,1.1,10000000,50
"development","heavy_tail_stress__R04__rep03__n10000000__T50",10245,410004003,1.15,1.3,1.5,1.1,10000000,50
"development","heavy_tail_stress__R04__rep04__n10000000__T50",10246,410004004,1.15,1.3,1.5,1.1,10000000,50
"development","heavy_tail_stress__R05__rep01__n10000000__T50",10247,410005001,1.4,0.7,1.3,1,10000000,50
"development","heavy_tail_stress__R05__rep02__n10000000__T50",10248,410005002,1.4,0.7,1.3,1,10000000,50
"development","heavy_tail_stress__R05__rep03__n10000000__T50",10249,410005003,1.4,0.7,1.3,1,10000000,50
"development","heavy_tail_stress__R05__rep04__n10000000__T50",10250,410005004,1.4,0.7,1.3,1,10000000,50
"development","heavy_tail_stress__R12__rep01__n10000000__T50",10251,410012001,1.08,1.3,1,1.7,10000000,50
"development","heavy_tail_stress__R12__rep02__n10000000__T50",10252,410012002,1.08,1.3,1,1.7,10000000,50
"development","heavy_tail_stress__R12__rep03__n10000000__T50",10253,410012003,1.08,1.3,1,1.7,10000000,50
"development","heavy_tail_stress__R12__rep04__n10000000__T50",10254,410012004,1.08,1.3,1,1.7,10000000,50
